TCP/HTTP, [200], [jQuery][JAVA], http://cyxy.wtu.edu.cn/, [创新创业学院]
TCP/HTTP, [200], [Bootstrap][JSP][layer.js][JAVA][openresty][jQuery], http://rszp.wtu.edu.cn/, [人才招聘]
TCP/HTTP, [302], [none], http://zcgl.wtu.edu.cn/, [None]
TCP/HTTP, [403], [none], http://ddzxcgl.wtu.edu.cn/, [403 Forbidden]
TCP/HTTP, [302], [openresty], http://gateway.wtu.edu.cn/, [302 Found]
TCP/HTTP, [200], [jQuery][JAVA], http://mse.wtu.edu.cn/, [武汉纺织大学材料科学与工程学院]
TCP/HTTP, [200], [none], http://tcsf.wtu.edu.cn/, [智慧后勤]
TCP/HTTP, [403], , http://hard.wtu.edu.cn/, [403 Forbidden]
TCP/HTTP, [200], [jQuery][JAVA], http://cyxy.wtu.edu.cn/, [创新创业学院]
TCP/HTTP, [200], [openresty][jQuery][Bootstrap][JSP][layer.js][JAVA], http://rszp.wtu.edu.cn/, [人才招聘]
TCP/HTTP, [302], [none], http://zcgl.wtu.edu.cn/, [None]
TCP/HTTP, [403], [none], http://ddzxcgl.wtu.edu.cn/, [403 Forbidden]
TCP/HTTP, [302], [openresty], http://gateway.wtu.edu.cn/, [302 Found]
TCP/HTTP, [200], [jQuery][JAVA], http://mse.wtu.edu.cn/, [武汉纺织大学材料科学与工程学院]
TCP/HTTP, [200], [none], http://tcsf.wtu.edu.cn/, [智慧后勤]
TCP/HTTP, [403], , http://hard.wtu.edu.cn/, [403 Forbidden]
TCP/HTTP, [403], , http://dhcp.wtu.edu.cn/, [403 Forbidden]
TCP/HTTP, [403], , http://allwww.wtu.edu.cn/, [403 Forbidden]
TCP/HTTP, [403], , http://baoxian.wtu.edu.cn/, [403 Forbidden]
TCP/HTTP, [403], , http://119.wtu.edu.cn/, [403 Forbidden]
TCP/HTTP, [200], [jQuery][JAVA], http://gjc.wtu.edu.cn/, [武汉纺织大学国际交流处]
TCP/HTTP, [403], , http://001u.wtu.edu.cn/, [403 Forbidden]
TCP/HTTP, [403], , http://zzc.wtu.edu.cn/, [403 Forbidden]
TCP/HTTP, [200], [openresty][Microsoft-Exchange], http://i.wtu.edu.cn/, [None]
TCP/HTTP, [200], [JSP][openresty][jQuery][Microsoft-Exchange], http://auth.wtu.edu.cn/, [统一身份认证]
TCP/HTTP, [200], [none], http://sso.wtu.edu.cn/, [统一身份认证平台]
TCP/HTTP, [302], [none], http://sid.wtu.edu.cn/, [None]
TCP/HTTP, [302], [nginx], http://zypt.wtu.edu.cn/, [None]
TCP/HTTP, [502], [none], http://ws1.wtu.edu.cn/, [访问出错 - 502]
